	title	category_id	address	lat	lon	distance
55	New Orleans Room	theatre-music-culture	Mason St<br/>San Francisco, CA 94108	37.79183	-122.41079	425
56	Yuet Lee	restaurant	1300 Stockton St<br/>San Francisco, CA 94133	37.79786	-122.40843	426
57	Toy Soldier	restaurant	52 Belden Pl<br/>San Francisco, CA 94104	37.79142	-122.40365	427
58	San Francisco Sports Grill & Bar	restaurant	648 Bush St<br/>San Francisco, CA 94108	37.79041	-122.40794	429
61	Stinking Rose	restaurant	325 Columbus Ave<br/>San Francisco, CA 94133	37.79806	-122.4075	431
60	China Live	restaurant	644 Broadway<br/>San Francisco, CA 94133	37.79802	-122.40785	431
59	Cold Drinks Bar	bar-pub	644 Broadway<br/>San Francisco, CA 94133	37.79802	-122.40785	431
62	May Fair	restaurant	385 Grant Ave<br/>San Francisco, CA 94108	37.790364	-122.405677	442
64	Betty Lou's Seafood & Grill	restaurant	318 Columbus Ave<br/>San Francisco, CA 94133	37.7982	-122.40675	445
63	Tunnel Top	dance-night-club	601 Bush St<br/>San Francisco, CA 94108	37.79021	-122.40731	445
66	Sushirrito	restaurant	475 Sansome St<br/>San Francisco, CA 94111	37.79456	-122.40192	448
67	15 Romolo	restaurant	15 Romolo Pl<br/>San Francisco, CA 94133	37.79825	-122.40631	454
68	Cafe de la Presse	restaurant	352 Grant Ave<br/>San Francisco, CA 94108	37.79033	-122.4053	456
70	Naked Lunch	restaurant	504 Broadway<br/>San Francisco, CA 94133	37.79819	-122.40569	458
71	Irish Bank Bar & Restaurant	restaurant	10 Mark Ln<br/>San Francisco, CA 94108	37.79041	-122.404882	461
72	Lululemon	clothing-accessories-shop	327 Grant Ave<br/>San Francisco, CA 94108	37.79015	-122.40587	461
73	Bix	restaurant	56 Gold St<br/>San Francisco, CA 94133	37.79678	-122.40289	461
74	Pesce E Riso	restaurant	1224 Grant Ave<br/>San Francisco, CA 94133	37.79835	-122.40693	462
75	Hue Lounge and Nightclub	dance-night-club	447 Broadway<br/>San Francisco, CA 94133	37.79796	-122.40476	462
76	The Barrel Room	restaurant	415 Sansome St<br/>San Francisco, CA 94111	37.79426	-122.40164	471
77	JoS. A. BANK	clothing-accessories-shop	390 Sutter St<br/>San Francisco, CA 94108	37.78998	-122.40643	472
78	Sons & Daughters	restaurant	708 Bush St<br/>San Francisco, CA 94108	37.790263	-122.409056	474
79	Eight Tables by George Chen	restaurant	8 Kenneth Rexroth Pl<br/>San Francisco, CA 94133	37.798461	-122.407666	477
80	Caffe Trieste	coffee-tea	601 Vallejo St<br/>San Francisco, CA 94133	37.79852	-122.40739	482
81	Saloon	theatre-music-culture	1232 Grant Ave<br/>San Francisco, CA 94133	37.79855	-122.40704	484
82	Mikaku Restaurant	restaurant	323 Grant Ave<br/>San Francisco, CA 94108	37.78996	-122.4057	485
83	Capo's Chicago Pizza	restaurant	641 Vallejo St<br/>San Francisco, CA 94133	37.79843	-122.40842	487
84	Cotogna	restaurant	490 Pacific Ave<br/>San Francisco, CA 94133	37.7975	-122.40336	487
85	Quince	restaurant	470 Pacific Ave<br/>San Francisco, CA 94133	37.7975	-122.40336	487
86	Burritt Room & Tavern	restaurant	417 Stockton St<br/>San Francisco, CA 94108	37.7898	-122.40738	490
87	Credo	restaurant	360 Pine St<br/>San Francisco, CA 94104	37.79217	-122.40202	492
88	E&O Asian Kitchen	restaurant	314 Sutter St<br/>San Francisco, CA 94108	37.78983	-122.40586	496
89	Tamarind Hall	restaurant	1268 Grant Ave<br/>San Francisco, CA 94133	37.79868	-122.407	498
